GEO.id,HD01_VD13
8600000US02703,4260
8600000US02713,2
8600000US02715,125
8600000US02717,188
8600000US02718,509
8600000US02719,1197
8600000US02720,4936
8600000US02721,5253
8600000US02723,3082
8600000US02724,3495
8600000US02725,324
8600000US02726,1495
8600000US02738,162
8600000US02739,250
8600000US02740,8058
8600000US02743,1210
8600000US02744,3468
8600000US02745,4285
8600000US02746,3713
8600000US02747,2569
8600000US02748,1680
8600000US02760,1733
8600000US02762,315
8600000US02763,78
8600000US02764,141
8600000US02766,933
8600000US02767,1153
8600000US02769,506
8600000US02770,201
8600000US02771,862
8600000US02777,1043
8600000US02779,244
8600000US02780,6326
8600000US02790,1348
8600000US02791,0
8600000US02802,44
8600000US02804,20
8600000US02806,1289
8600000US02807,14
8600000US02808,93
8600000US02809,2565
8600000US02812,69
8600000US02813,136
8600000US02814,166
8600000US02815,0
8600000US02816,871
8600000US02817,253
8600000US02818,1446
8600000US02822,227
8600000US02825,97
8600000US02826,44
8600000US02827,53
8600000US02828,301
8600000US02830,102
8600000US02831,188
8600000US02832,86
8600000US02833,38
8600000US02835,308
8600000US02836,0
8600000US02837,168
8600000US02838,134
8600000US02839,31
8600000US02840,2304
8600000US02841,76
8600000US02842,1442
8600000US02852,1107
8600000US02857,381
8600000US02858,0
8600000US02859,214
8600000US02860,13243
8600000US02861,4125
8600000US02863,7386
8600000US02864,3283
8600000US02865,1311
8600000US02871,928
8600000US02872,0
8600000US02873,0
8600000US02874,319
8600000US02875,0
8600000US02876,0
8600000US02878,749
8600000US02879,828
8600000US02881,522
8600000US02882,325
8600000US02885,754
8600000US02886,1872
8600000US02888,1612
8600000US02889,1553
8600000US02891,1124
8600000US02892,119
8600000US02893,2416
8600000US02894,29
8600000US02895,4455
8600000US02896,446
8600000US02898,20
8600000US02903,2500
8600000US02904,5116
8600000US02905,6609
8600000US02906,4808
8600000US02907,12483
8600000US02908,9019
8600000US02909,16233
8600000US02910,3368
8600000US02911,1487
8600000US02912,196
8600000US02914,5040
8600000US02915,1928
8600000US02916,674
8600000US02917,719
8600000US02919,2494
8600000US02920,5089
8600000US02921,1133
8600000US03031,571
8600000US03032,163
8600000US03033,223
8600000US03034,105
8600000US03036,84
8600000US03037,76
8600000US03038,1427
8600000US03042,228
8600000US03043,34
8600000US03044,92
8600000US03045,686
8600000US03046,69
8600000US03047,42
8600000US03048,83
8600000US03049,369
8600000US03051,1465
8600000US03052,433
8600000US03053,934
8600000US03054,1216
8600000US03055,1006
8600000US03057,119
8600000US03060,4408
8600000US03062,4261
8600000US03063,2309
8600000US03064,1254
8600000US03070,76
8600000US03071,172
8600000US03076,480
8600000US03077,302
8600000US03079,2532
8600000US03082,54
8600000US03084,46
8600000US03086,121
8600000US03087,706
8600000US03101,361
8600000US03102,3727
8600000US03103,6319
8600000US03104,3410
8600000US03106,570
8600000US03109,839
8600000US03110,1154
8600000US03215,9
8600000US03216,105
8600000US03217,11
8600000US03218,0
8600000US03220,62
8600000US03221,28
8600000US03222,125
8600000US03223,132
8600000US03224,75
8600000US03225,86
8600000US03226,17
8600000US03227,8
8600000US03229,139
8600000US03230,7
8600000US03231,0
8600000US03233,0
8600000US03234,79
8600000US03235,163
8600000US03237,25
8600000US03238,0
8600000US03240,16
8600000US03241,66
8600000US03242,145
8600000US03243,6
8600000US03244,203
8600000US03245,58
8600000US03246,660
8600000US03249,278
8600000US03251,124
8600000US03253,236
8600000US03254,92
8600000US03255,33
8600000US03256,61
8600000US03257,282
8600000US03258,42
8600000US03259,0
8600000US03260,68
8600000US03261,91
8600000US03262,18
8600000US03263,174
8600000US03264,315
8600000US03266,41
8600000US03268,25
8600000US03269,36
8600000US03273,0
8600000US03275,468
8600000US03276,314
8600000US03278,34
8600000US03279,4
8600000US03280,38
8600000US03281,162
8600000US03282,39
8600000US03284,33
8600000US03285,37
8600000US03287,18
8600000US03290,105
8600000US03291,0
8600000US03293,4
8600000US03301,2441
8600000US03303,581
8600000US03304,404
8600000US03307,31
8600000US03431,929
8600000US03440,87
8600000US03441,0
8600000US03442,25
8600000US03443,0
8600000US03444,68
8600000US03445,12
8600000US03446,178
8600000US03447,67
8600000US03448,11
8600000US03449,43
8600000US03450,49
8600000US03451,64
8600000US03452,56
8600000US03455,28
8600000US03456,13
8600000US03457,12
8600000US03458,247
8600000US03461,266
8600000US03462,63
8600000US03464,26
8600000US03465,146
8600000US03466,41
8600000US03467,45
8600000US03470,84
8600000US03561,519
8600000US03570,381
8600000US03574,54
8600000US03575,28
8600000US03576,165
8600000US03579,12
8600000US03580,62
8600000US03581,112
8600000US03582,80
8600000US03583,14
8600000US03584,57
8600000US03585,63
8600000US03586,15
8600000US03588,52
8600000US03590,36
8600000US03592,55
8600000US03593,20
8600000US03595,11
8600000US03597,44
8600000US03598,55
8600000US03601,27
8600000US03602,47
8600000US03603,59
8600000US03604,0
8600000US03605,44
8600000US03607,26
8600000US03608,48
8600000US03609,0
8600000US03740,16
8600000US03741,54
8600000US03743,151
8600000US03745,20
8600000US03746,8
8600000US03748,164
8600000US03750,33
8600000US03751,5
8600000US03752,23
8600000US03753,185
8600000US03754,0
8600000US03755,1417
8600000US03765,0
8600000US03766,1115
8600000US03768,80
8600000US03770,76
8600000US03771,5
8600000US03773,262
8600000US03774,19
8600000US03777,6
8600000US03779,47
8600000US03780,34
8600000US03781,63
8600000US03782,45
8600000US03784,402
8600000US03785,64
