GEO.id,Poverty_status,Bachelors,Labor_force,Employed,Full_time,Poverty_200,Poverty_500
8600000US00751,22583,2376,6505,5757,3653,18282,22291
8600000US00754,39427,4937,13387,11289,8222,30938,38660
8600000US00757,22913,3516,7856,6895,4618,17394,22221
8600000US00765,8993,1075,3199,2812,1887,6885,8957
8600000US00766,24682,2663,9178,6804,4462,19900,24468
8600000US00767,36211,3679,10675,8083,5175,30717,35925
8600000US00769,39559,5561,12966,11469,7342,30889,38613
8600000US00771,38283,4663,12910,9985,7275,30244,37221
8600000US00772,21478,1599,8494,6105,3929,17968,21366
8600000US00773,19365,2417,7867,5626,4120,14553,18865
8600000US00775,1554,115,680,658,374,1286,1554
8600000US00777,40515,5987,15413,11760,8734,30679,39253
8600000US00778,46483,10237,20216,17515,12500,28033,42568
8600000US00780,12938,2913,5339,4513,3077,8621,11432
8600000US00782,18426,1574,5387,4235,2924,15590,18270
8600000US00783,34989,3406,10102,7739,5529,30176,34543
8600000US00784,40904,5320,11654,9637,7344,32482,39888
8600000US00786,288,0,46,46,46,250,288
8600000US00791,50293,8126,16397,14320,10135,36800,48069
8600000US00794,29892,3549,6709,6255,5022,25239,29384
8600000US00795,46316,6405,17023,14124,9578,36880,45356
8600000US00901,5444,1766,2299,2103,1294,3584,4404
8600000US00906,73,50,51,51,40,33,55
8600000US00907,17221,6459,8430,7592,5585,9203,14091
8600000US00909,5563,1112,2530,2004,1155,4362,5198
8600000US00911,7434,2895,3765,3331,2422,4047,6342
8600000US00912,5656,1341,2882,2325,1364,3862,5305
8600000US00913,8106,848,2640,1599,864,7004,7785
8600000US00915,29305,2094,13162,9462,5071,25832,28968
8600000US00917,18910,2889,8079,6538,3810,14856,18045
8600000US00918,16552,5643,7109,6156,4288,9349,13943
8600000US00920,17909,3866,7927,6922,4505,12511,16754
8600000US00921,37321,6793,14692,12584,7938,26859,35632
8600000US00923,26310,3590,10359,7855,5180,20971,25722
8600000US00924,53878,8848,21487,17249,10953,38829,51561
8600000US00925,6205,1041,3042,2425,1154,5295,6054
8600000US00926,103953,32071,45586,41321,29724,53658,87748
8600000US00927,14409,6084,6218,5495,4043,6742,11321
8600000US00934,67,47,36,36,47,0,56
8600000US00936,0,0,0,0,0,0,0
8600000US00949,78358,12760,34327,27968,19019,52057,75596
8600000US00950,0,0,0,0,0,0,0
8600000US00951,15,0,8,8,0,15,15
8600000US00952,9363,842,3923,3117,1826,7459,9311
8600000US00953,72979,14448,31257,26306,19349,42853,67559
8600000US00956,73970,11673,31579,25630,18348,54114,72173
8600000US00957,43004,7106,16604,13753,9388,29451,41163
8600000US00959,47884,11361,21884,19171,13400,28642,45051
8600000US00960,27,0,0,0,0,22,27
8600000US00961,29187,7967,12717,10923,7514,15659,26248
8600000US00962,20953,2171,8633,5747,4089,16465,20394
8600000US00965,8479,537,3638,2727,1827,7395,8412
8600000US00966,15916,7419,7378,6725,5141,4750,10478
8600000US00968,3492,2079,1658,1551,1237,925,2281
8600000US00969,42827,18330,20005,18496,14259,14874,31260
8600000US00971,28971,4813,13357,10845,7708,19984,27492
8600000US00976,61251,14491,25782,23759,17248,37321,55677
8600000US00979,15164,5849,7843,7266,5387,7019,12357
8600000US00982,14995,2583,6296,5378,3576,9924,14399
8600000US00983,39293,6954,17193,14608,9537,25074,37801
8600000US00985,33431,5035,14159,11663,7734,21716,32447
8600000US00987,60118,13001,27704,23705,16782,34310,56457
8600000US01001,16840,3534,9584,8943,5816,4161,12071
8600000US01002,24721,8975,13870,12993,5563,11338,17388
8600000US01003,114,17,66,54,22,49,55
8600000US01005,5109,827,2935,2709,1745,1008,3665
8600000US01007,14778,4152,8367,7876,5226,3486,9005
8600000US01008,1171,250,722,668,472,215,776
8600000US01009,429,58,263,200,93,163,375
8600000US01010,3631,1125,2311,2201,1396,702,1797
8600000US01011,1506,190,898,822,564,345,1070
8600000US01012,539,160,331,297,170,85,362
8600000US01013,21753,2354,11356,10043,6588,9288,19004
8600000US01020,30802,3945,16858,15425,10603,8853,24083
8600000US01022,2840,513,1448,1227,1045,1154,2335
8600000US01026,1033,293,529,497,306,350,845
8600000US01027,17715,4592,10781,10019,6275,3657,12754
8600000US01028,15585,4637,8686,8171,5170,2642,7790
8600000US01029,717,125,372,321,225,237,570
8600000US01030,11208,2288,6070,5780,3906,2728,6915
8600000US01031,1369,195,660,560,400,625,1009
8600000US01032,611,207,399,383,215,95,437
8600000US01033,6250,1538,3626,3500,2399,884,3632
8600000US01034,2174,470,1265,1171,789,339,1403
8600000US01035,5154,1940,3132,3087,2067,862,3090
8600000US01036,5077,1397,2951,2739,1826,678,2847
8600000US01037,618,206,351,301,228,132,312
8600000US01038,2794,840,1733,1692,1074,502,1841
8600000US01039,1236,527,780,723,450,270,738
8600000US01040,39354,5972,18779,16296,10158,19925,32432
8600000US01050,2505,312,1344,1292,923,606,1861
8600000US01053,1538,517,707,651,428,565,1106
8600000US01054,1988,938,1120,1074,681,295,1108
8600000US01056,20558,3270,10988,10199,7371,3776,14101
8600000US01057,8655,1740,5195,4726,3071,1693,5760
8600000US01060,12957,5935,8202,7722,4404,4525,8980
8600000US01062,10714,4434,6156,5528,3651,2709,6242
8600000US01063,0,0,0,0,0,0,0
8600000US01066,10,10,0,0,0,0,10
8600000US01068,1803,469,1038,966,665,307,1202
8600000US01069,8650,1544,4757,4338,2893,2285,6086
8600000US01070,564,198,350,329,154,140,422
8600000US01071,1318,298,792,736,551,160,826
8600000US01072,1460,665,883,830,515,327,889
8600000US01073,6009,1337,3653,3496,2476,1205,3358
8600000US01074,247,63,146,146,78,34,247
8600000US01075,15385,4620,8609,8075,5564,3484,9760
8600000US01077,9584,2254,5223,4955,3407,1302,5404
8600000US01079,593,137,329,292,193,138,479
8600000US01080,2286,251,1014,907,580,1070,1988
8600000US01081,1717,226,853,785,510,604,1389
8600000US01082,10347,1553,5588,5147,3377,2996,8118
8600000US01083,2960,312,1463,1351,1041,1017,2581
8600000US01084,155,86,82,79,35,36,105
8600000US01085,39057,8684,22513,20497,13356,10511,27981
8600000US01086,0,0,0,0,0,0,0
8600000US01088,493,159,242,242,207,113,285
8600000US01089,28327,5767,15539,13886,9405,8832,21403
8600000US01092,1291,232,664,613,504,479,892
