GEO.id,Total_Households,Total_Families,Families_w_Children
8600000US01721,6596,4752,2332
8600000US01730,5129,3747,1888
8600000US01731,572,544,464
8600000US01740,1619,1337,757
8600000US01741,1762,1474,643
8600000US01742,6920,4963,2245
8600000US01745,133,117,59
8600000US01746,5037,3930,1979
8600000US01747,2237,1515,838
8600000US01748,5422,4374,2558
8600000US01749,7638,5295,2230
8600000US01752,15558,9412,4435
8600000US01754,4284,2569,1060
8600000US01756,1993,1706,755
8600000US01757,10916,7347,3256
8600000US01760,13874,8844,4626
8600000US01770,1461,1263,644
8600000US01772,3175,2529,1302
8600000US01773,2021,1532,655
8600000US01775,2538,2018,950
8600000US01776,6063,5306,2879
8600000US01778,5213,3783,1897
8600000US01801,15016,9765,4023
8600000US01803,9359,6811,3011
8600000US01810,12174,9201,4620
8600000US01821,11083,8357,3391
8600000US01824,9821,7044,3059
8600000US01826,11008,8213,3789
8600000US01827,1176,919,410
8600000US01830,10202,6303,3011
8600000US01832,8461,5510,2576
8600000US01833,3115,2431,1189
8600000US01834,2385,1828,692
8600000US01835,5118,3417,1691
8600000US01840,2258,1127,627
8600000US01841,15253,11075,5877
8600000US01843,8983,6253,3114
8600000US01844,17451,12616,5648
8600000US01845,10830,7598,3785
8600000US01850,5445,3660,1854
8600000US01851,10052,6994,3387
8600000US01852,13564,7646,3548
8600000US01854,9446,5580,2831
8600000US01860,2528,1930,751
8600000US01862,3367,2560,1121
8600000US01863,3931,2564,1063
8600000US01864,5361,4070,1753
8600000US01867,8898,6482,3103
8600000US01876,10974,7909,3072
8600000US01879,4252,3218,1567
8600000US01880,9851,6669,2794
8600000US01886,7878,6415,3476
8600000US01887,7652,6159,2777
8600000US01890,7586,5996,3168
8600000US01901,761,221,113
8600000US01902,16863,10453,5764
8600000US01904,6386,4578,1783
8600000US01905,8390,6088,3193
8600000US01906,10108,7316,2537
8600000US01907,5512,3758,1710
8600000US01908,1639,894,342
8600000US01913,7055,4389,1952
8600000US01915,16113,9326,3726
8600000US01921,2713,2331,934
8600000US01922,979,736,216
8600000US01923,10394,6920,2933
8600000US01929,1425,950,413
8600000US01930,12303,7890,2573
8600000US01937,0,0,0
8600000US01938,5535,3693,1520
8600000US01940,4771,3596,1541
8600000US01944,2063,1655,617
8600000US01945,8137,5662,2620
8600000US01949,2633,1983,889
8600000US01950,7555,4438,1926
8600000US01951,1714,1178,479
8600000US01952,3446,2152,723
8600000US01960,21411,13320,4973
8600000US01966,3282,1825,609
8600000US01969,2219,1678,691
8600000US01970,18001,9893,4236
8600000US01982,2728,2241,1114
8600000US01983,2282,1766,820
8600000US01984,1372,977,440
8600000US01985,1518,1281,570
8600000US02019,6196,4413,1743
8600000US02021,8749,5801,2747
8600000US02025,2967,2255,1100
8600000US02026,9579,6186,2569
8600000US02030,1935,1624,835
8600000US02032,1564,1166,481
8600000US02035,6411,4347,1879
8600000US02038,11115,8464,4497
8600000US02043,8435,6208,2991
8600000US02045,4892,2693,840
8600000US02047,84,65,17
8600000US02048,8115,6075,3148
8600000US02050,9559,7007,3041
8600000US02052,4090,3426,1882
8600000US02053,4562,3410,1713
8600000US02054,3069,2245,1140
8600000US02056,3177,2687,1252
8600000US02061,3638,3046,1489
8600000US02062,11670,6882,3004
8600000US02066,6510,4777,2294
8600000US02067,6212,5080,2443
8600000US02071,321,285,174
8600000US02072,10555,7275,2988
8600000US02081,7098,5123,2451
8600000US02090,5589,4192,2049
8600000US02093,3893,2857,1407
8600000US02108,2114,733,314
8600000US02109,2001,573,153
8600000US02110,1293,370,31
8600000US02111,3108,1312,437
8600000US02113,4319,888,169
8600000US02114,7000,1780,624
8600000US02115,9535,2114,729
8600000US02116,11460,4373,1109
8600000US02118,12500,4983,2141
8600000US02119,10693,5763,2913
8600000US02120,4741,2302,1125
8600000US02121,10329,6607,3531
8600000US02122,8409,5392,2815
8600000US02124,18593,11873,5854
8600000US02125,12427,6967,3506
8600000US02126,9660,6777,2873
8600000US02127,16332,6663,2490
8600000US02128,15820,9221,4444
8600000US02129,8457,3931,1798
8600000US02130,16070,7557,3381
8600000US02131,12092,7413,3488
8600000US02132,11270,7297,3029
